epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
22,,0.004716902039945126,0.08426886796951294,5.162107340494791,5.135357666015625,1.453125,1.453125,1.4494974613189697,2.078125,-0.021484375, mansion |  puppy |  kitten |  gates | 🐺, rabbits |  dogs |  lamps |  mice |  rats,0.6762589812278748,0.6762589812278748,0.6762589812278748
23,,0.058254193514585495,0.008860938251018524,4.785294596354166,4.883992513020833,1.453125,1.453125,1.4494974613189697,2.078125,-0.023193359375, mansion |  puppy |  kitten |  shark |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.6618704795837402,0.6115108132362366,0.7122302055358887
24,,0.011901753954589367,0.029751325026154518,3.741796875,3.7174560546875,1.453125,1.453125,1.4494974613189697,2.078125,-0.0264892578125, mansion |  puppy |  kitten |  lizard |  gates, rabbits |  dogs |  lamps |  mice |  cats,0.6762589812278748,0.6474820375442505,0.7050359845161438
25,,0.00826252344995737,0.0542566180229187,5.626277669270833,5.578629557291666,1.453125,1.453125,1.4494974613189697,2.078125,-0.03125, mansion |  puppy |  kitten |  shark |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.6978417038917542,0.6906474828720093,0.7050359845161438
26,,0.09908817708492279,0.002910225884988904,2.8022562662760415,2.847576904296875,1.4453125,1.453125,1.4494974613189697,2.09375,-0.03564453125, mansion |  puppy |  kitten |  shark |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.6762589812278748,0.6402877569198608,0.7122302055358887
27,,0.006670584436506033,0.05463196709752083,3.9526570638020835,4.008001708984375,1.453125,1.453125,1.4494974613189697,2.09375,-0.041015625, mansion |  puppy |  kitten |  lizard |  shark, rabbits |  dogs |  lamps |  mice |  cats,0.7158273458480835,0.7338129281997681,0.6978417038917542
28,,0.10785827785730362,0.005025774706155062,5.90594482421875,5.94012451171875,1.4453125,1.4453125,1.4494974613189697,2.09375,-0.047119140625, mansion |  puppy |  kitten |  shark |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.6870503425598145,0.6546762585639954,0.7194244861602783
29,,0.0033602837938815355,0.05079341679811478,3.7118794759114584,3.686905924479167,1.453125,1.453125,1.4494974613189697,2.109375,-0.053955078125, mansion |  puppy |  kitten |  shark |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.7122302055358887,0.7194244861602783,0.7050359845161438
30,,0.002314664889127016,0.06908950954675674,3.157576497395833,3.1467041015625,1.453125,1.453125,1.4494974613189697,2.109375,-0.060791015625, mansion |  puppy |  kitten |  lizard |  shark, rabbits |  dogs |  lamps |  mice |  cats,0.7338129281997681,0.7338129281997681,0.7338129281997681
31,,0.00625906977802515,0.0351739227771759,4.948569742838542,4.959850565592448,1.453125,1.453125,1.4494974613189697,2.109375,-0.06298828125, mansion |  puppy |  kitten |  shark |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.7230215668678284,0.7266187071800232,0.7194244861602783
32,,0.06272382289171219,0.003288514446467161,3.0956319173177085,3.111376953125,1.4453125,1.453125,1.4494974613189697,2.125,-0.0673828125, mansion |  shark |  puppy |  kitten |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.701438844203949,0.6834532618522644,0.7194244861602783
33,,0.026809457689523697,0.008930660784244537,5.456001790364583,5.4210205078125,1.453125,1.453125,1.4494974613189697,2.125,-0.07373046875, mansion |  shark |  puppy |  kitten |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.7482014298439026,0.6906474828720093,0.8057553768157959
34,,0.028779957443475723,0.004794507287442684,3.404732259114583,3.39805908203125,1.453125,1.453125,1.4494974613189697,2.140625,-0.08154296875, mansion |  shark |  puppy |  kitten |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.7482014298439026,0.6762589812278748,0.8201438784599304
35,,0.028944706544280052,0.006372698582708836,4.473811848958333,4.480741373697916,1.4453125,1.453125,1.4494974613189697,2.140625,-0.0869140625, mansion |  shark |  puppy |  lizard |  kitten, rabbits |  dogs |  lamps |  mice |  cats,0.7625899314880371,0.6906474828720093,0.8345323801040649
36,,0.002414983231574297,0.0549657829105854,2.444144694010417,2.473253377278646,1.453125,1.453125,1.4494974613189697,2.140625,-0.09375, mansion |  shark |  lizard |  puppy |  kitten, rabbits |  dogs |  lamps |  mice |  cats,0.7841726541519165,0.7122302055358887,0.8561151027679443
37,,0.0044271694496273994,0.021034250035881996,3.7185567220052085,3.719374338785807,1.453125,1.4453125,1.4494974613189697,2.15625,-0.0986328125, shark |  mansion |  lizard | 🐺 |  puppy, rabbits |  dogs |  lamps |  mice |  cats,0.7949640154838562,0.7122302055358887,0.8776978254318237
38,,0.0023779342882335186,0.04482850059866905,3.1362599690755206,3.115714518229167,1.453125,1.453125,1.4494974613189697,2.15625,-0.10498046875, shark |  mansion |  lizard | 🐺 |  puppy, rabbits |  dogs |  lamps |  mice | 两只,0.8057553768157959,0.7338129281997681,0.8776978254318237
