idx,good_score,bad_score
951,-8.5,-8.8125
952,-8.5625,-9.0
953,-7.59375,-7.84375
954,-8.0625,-8.125
955,-7.375,-7.65625
956,-6.8125,-6.65625
957,-6.375,-6.625
958,-5.96875,-6.0
959,-6.1875,-6.3125
960,-8.0625,-9.125
961,-8.5,-8.8125
962,-9.0625,-9.25
963,-8.9375,-9.1875
964,-8.1875,-8.125
965,-8.0,-8.1875
966,-6.59375,-6.625
967,-7.15625,-7.25
968,-5.6875,-5.6875
969,-6.28125,-6.5
970,-8.0625,-9.125
971,-8.5,-8.8125
972,-8.9375,-9.125
973,-8.125,-8.5
974,-7.78125,-7.875
975,-8.0,-8.125
976,-6.21875,-6.21875
977,-6.4375,-6.6875
978,-5.53125,-5.625
979,-6.0625,-6.1875
980,-8.0625,-9.125
981,-8.5,-8.8125
982,-8.9375,-9.0
983,-9.1875,-9.125
984,-7.9375,-7.96875
985,-8.3125,-8.5
986,-6.6875,-6.78125
987,-6.875,-6.96875
988,-5.84375,-5.90625
989,-6.03125,-6.09375
990,-8.0625,-9.125
991,-8.5,-8.8125
992,-8.375,-8.625
993,-8.25,-8.25
994,-7.1875,-7.4375
995,-7.59375,-7.84375
996,-5.96875,-6.125
997,-6.125,-6.25
998,-5.65625,-5.625
999,-5.59375,-5.78125
1000,-7.9375,-7.96875
1001,-7.90625,-8.625
1002,-7.9375,-8.125
1003,-7.59375,-8.1875
1004,-7.34375,-7.4375
1005,-7.15625,-7.71875
1006,-6.40625,-6.46875
1007,-6.1875,-6.625
1008,-5.875,-5.875
1009,-5.625,-6.0625
1010,-7.9375,-7.96875
1011,-7.90625,-8.625
1012,-8.625,-8.8125
1013,-8.5,-9.1875
1014,-7.8125,-7.84375
1015,-7.875,-8.3125
1016,-6.59375,-6.625
1017,-6.3125,-6.875
1018,-5.4375,-5.40625
1019,-5.15625,-5.625
1020,-7.9375,-7.96875
1021,-7.90625,-8.625
