epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
32,,0.1612534373998642,0.15531715750694275,16.434375,15.8703125,1.453125,1.4453125,1.4494974613189697,1.9453125,0.0986328125, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7589927911758423,0.568345308303833,0.9496402740478516
33,,0.1380617618560791,0.1380271464586258,14.947916666666666,13.880208333333334,1.453125,1.453125,1.4494974613189697,1.9453125,0.09765625, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.769784152507782,0.5899280309677124,0.9496402740478516
34,,0.16442231833934784,0.13543403148651123,15.246875,14.5359375,1.453125,1.453125,1.4494974613189697,1.9453125,0.09716796875, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7661870718002319,0.5827338099479675,0.9496402740478516
35,,0.09049166738986969,0.17920970916748047,13.286458333333334,12.5125,1.453125,1.453125,1.4494974613189697,1.953125,0.095703125, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7769784331321716,0.6043165326118469,0.9496402740478516
36,,0.09538877010345459,0.174001544713974,13.822395833333333,13.391666666666667,1.453125,1.453125,1.4494974613189697,1.953125,0.09521484375, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7733812928199768,0.597122311592102,0.9496402740478516
37,,0.157356858253479,0.13278304040431976,15.275,14.9375,1.453125,1.4453125,1.4494974613189697,1.953125,0.09521484375, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7769784331321716,0.6043165326118469,0.9496402740478516
38,,0.15503960847854614,0.13753803074359894,14.911979166666667,14.7875,1.453125,1.453125,1.4494974613189697,1.953125,0.09423828125, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7769784331321716,0.6043165326118469,0.9496402740478516
39,,0.10070142894983292,0.13015106320381165,12.9515625,12.594791666666667,1.453125,1.4453125,1.4494974613189697,1.953125,0.09375, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7805755138397217,0.6115108132362366,0.9496402740478516
40,,0.09768451750278473,0.11748021841049194,11.795833333333333,11.260416666666666,1.453125,1.453125,1.4494974613189697,1.953125,0.09228515625, doors |  door |  cats | _door | 䢼, birds |  dogs |  rats |  cats |  rabbits,0.7769784331321716,0.6043165326118469,0.9496402740478516
41,,0.1605159044265747,0.09259510040283203,12.807291666666666,12.581770833333334,1.453125,1.4453125,1.4494974613189697,1.953125,0.091796875, doors |  door | _door |  cats | 䢼, birds |  dogs |  rats |  cats |  rabbits,0.769784152507782,0.5899280309677124,0.9496402740478516
42,,0.13551907241344452,0.10969977080821991,12.484114583333334,12.257291666666667,1.453125,1.453125,1.4494974613189697,1.953125,0.0908203125, doors |  door | _door |  cats |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7769784331321716,0.6043165326118469,0.9496402740478516
43,,0.12082871049642563,0.09484036266803741,12.204427083333334,11.355208333333334,1.453125,1.4453125,1.4494974613189697,1.953125,0.09033203125, doors |  door | _door |  cats | 䢼, birds |  dogs |  rats |  cats |  rabbits,0.7841726541519165,0.6187050342559814,0.9496402740478516
44,,0.13749247789382935,0.10319043695926666,12.872916666666667,12.802604166666667,1.453125,1.453125,1.4494974613189697,1.953125,0.0888671875, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7805755138397217,0.6115108132362366,0.9496402740478516
45,,0.10334122180938721,0.09864136576652527,11.259895833333333,10.43515625,1.453125,1.453125,1.4494974613189697,1.9609375,0.08837890625, doors |  door | _door |  cats |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7913669347763062,0.633093535900116,0.9496402740478516
46,,0.09736655652523041,0.10669712722301483,11.471875,11.402083333333334,1.4453125,1.453125,1.4494974613189697,1.9609375,0.087890625, doors |  door | _door |  cats |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7949640154838562,0.6402877569198608,0.9496402740478516
47,,0.06672932952642441,0.14497962594032288,10.366145833333333,10.151302083333333,1.453125,1.453125,1.4494974613189697,1.9609375,0.0869140625, doors |  door | _door |  cats | 䢼, birds |  dogs |  rats |  cats |  rabbits,0.7949640154838562,0.6402877569198608,0.9496402740478516
48,,0.09166784584522247,0.11290132999420166,10.870833333333334,10.584375,1.453125,1.453125,1.4494974613189697,1.9609375,0.0859375, doors |  door | _door |  cats | 䢼, birds |  dogs |  rats |  cats |  rabbits,0.7949640154838562,0.6402877569198608,0.9496402740478516
49,,0.08895857632160187,0.09871160984039307,10.440104166666666,10.014322916666666,1.453125,1.453125,1.4494974613189697,1.9609375,0.08544921875, doors |  door | _door |  cats |  trees, birds |  dogs |  rats |  cats |  rabbits,0.798561155796051,0.6474820375442505,0.9496402740478516
50,,0.0820169597864151,0.10995831340551376,10.06953125,9.844010416666666,1.453125,1.453125,1.4494974613189697,1.9609375,0.08447265625, doors |  door | _door |  cats | 䢼, birds |  dogs |  rats |  cats |  rabbits,0.8057553768157959,0.6618704795837402,0.9496402740478516
